feature,importance
duration,0.3404215385321821
euribor3m,0.09081840636159205
nr.employed,0.06782484370201476
emp.var.rate,0.06473025813908075
cons.conf.idx,0.04057262213852053
poutcome_success,0.028473877106213758
cons.price.idx,0.02823188739028798
campaign,0.027451513516195486
contact_cellular,0.02410177705639921
pdays,0.022977382160870818
contact_telephone,0.021710833892280713
default_no,0.020576429404001666
month_may,0.01960662525299706
default_unknown,0.015545533614757173
job_admin.,0.010818692914972687
job_blue-collar,0.009858603245069764
education_university.degree,0.009487591780825881
day_of_week_fri,0.00911380408495834
day_of_week_mon,0.009008587398164866
poutcome_nonexistent,0.00888873953452613
month_oct,0.008394407781234264
day_of_week_wed,0.008310856695960605
day_of_week_thu,0.007980450086367837
age,0.00773417703336678
day_of_week_tue,0.007653097371415968
previous,0.007572703908301049
month_apr,0.005730576437337931
education_basic.9y,0.004870029498903803
marital_single,0.004676343601500438
month_mar,0.004521638511538377
loan_no,0.0042229434631092895
marital_married,0.004146567189798232
education_high.school,0.003646957085209241
marital_divorced,0.003569257992594778
loan_yes,0.0035057459900843494
job_retired,0.0032370530627164216
job_services,0.0031287270803147258
education_basic.4y,0.0030839086818098336
education_professional.course,0.003031198459944641
job_technician,0.0029583796019036776
housing_yes,0.002880013400362007
housing_no,0.002813665230201256
poutcome_failure,0.0025049469301742853
month_jun,0.0022487615473072643
job_management,0.00206047178339189
month_sep,0.001926017965690681
job_student,0.0015654141460348671
education_basic.6y,0.001562548632382384
month_aug,0.0014825103431165363
month_jul,0.001272589902247359
job_entrepreneur,0.0012472268971712571
month_nov,0.0012252433971052914
education_unknown,0.0011923793392321447
job_self-employed,0.0010237867325443592
job_unemployed,0.0007519722830239429
job_housemaid,0.0006853557906187894
housing_unknown,0.00040210873428519773
job_unknown,0.0003247015499524279
loan_unknown,0.00031050813154790124
month_dec,0.0001723376882154894
education_illiterate,8.3040127788917e-05
marital_unknown,6.98326882818463e-05
default_yes,0.0
